Centro Responsable,ID Pedido,Centro Destino,Condicion Expedicion,Ruta Flete,Material,Cantidad Bultos,Fecha Creacion,Fecha Promesa,Dias Atraso (habiles),Estado Actual,Etapas Pendientes
1003 - CD RM,0000895740,1100 - CD Puerto Montt,EBE-DESP,PUERTO MONTT / PUCON,MATERIAL FLETE TERCEROS,1,13-09-2025,23-09-2025,259,Recepción en CD (sin traslado),Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000964199,1000 - CD Quilicura,CLI-RET (EBE),RETIRA CLIENTE,MATERIAL FLETE TERCEROS,1,18-02-2026,25-02-2026,148,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000967024,1080 - CD Concepción,EBE-DESP,CONCEPCIÓN / CONCEPCIÓN,MATERIAL FLETE TERCEROS,1,24-02-2026,04-03-2026,143,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000997650,1090 - CD Temuco,EBE-DESP,TEMUCO / TRAIGUEN,1 alfombra,1,11-05-2026,14-05-2026,92,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000997650,1090 - CD Temuco,EBE-DESP,TEMUCO / TRAIGUEN,3 pallet viena,3,11-05-2026,14-05-2026,92,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000998866,1090 - CD Temuco,CLI-RET (EBE),RETIRA CLIENTE,CERAMICA,2,13-05-2026,20-05-2026,88,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000998866,1090 - CD Temuco,CLI-RET (EBE),RETIRA CLIENTE,SPC,1,13-05-2026,20-05-2026,88,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0000998871,1090 - CD Temuco,CLI-RET (EBE),RETIRA CLIENTE,CERAMICA,1,13-05-2026,20-05-2026,88,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001000410,1090 - CD Temuco,CLI-RET (EBE),RETIRA CLIENTE,SPC,1,18-05-2026,27-05-2026,83,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001004019,1080 - CD Concepción,EBE-DESP,CONCEPCIÓN / CONCEPCIÓN,Ceramica,1,27-05-2026,05-06-2026,76,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001005431,1080 - CD Concepción,EBE-DESP,CONCEPCIÓN / TALCAHUANO,PANEL Y SPC,1,29-05-2026,08-06-2026,75,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001006742,1070 - CD Talca,EBE-DESP,TALCA / TALCA,ARAUITAC,1,03-06-2026,15-06-2026,70,Recepción en CD (sin traslado),Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001008021,1090 - CD Temuco,EBE-DESP,TEMUCO / TEMUCO,ALFROMBRA,1,05-06-2026,16-06-2026,69,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001008498,1090 - CD Temuco,CLI-RET (EBE),RETIRA CLIENTE,PANEL UV,1,08-06-2026,16-06-2026,69,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
1003 - CD RM,0001010974,1080 - CD Concepción,EBE-DESP,CONCEPCIÓN / CONCEPCIÓN,VINILICO,1,15-06-2026,24-06-2026,63,Sin Recepción en CD,Recepción CD + Traslado + Recepción Sucursal + Entrega Cliente
